,PLAYER_ID,SHOT_ZONE_RANGE,SHOT_PERCENTAGE,SHOT_COUNT_MADE,SHOT_RANGE_BIN
215,2747,24+ ft.,0.39037433155080214,73,24
216,2747,8-16 ft.,0.4772727272727273,21,8
217,2747,Less Than 8 ft.,0.5,25,0
218,2749,16-24 ft.,0.40816326530612246,20,16
219,2749,24+ ft.,0.2897196261682243,31,24
220,2749,8-16 ft.,0.35294117647058826,6,8
221,2749,Less Than 8 ft.,0.4716981132075472,25,0
222,2754,16-24 ft.,0.24,6,16
223,2754,24+ ft.,0.4375,7,24
224,2754,8-16 ft.,0.46153846153846156,6,8
225,2754,Less Than 8 ft.,0.45528455284552843,56,0
226,2755,16-24 ft.,0.3333333333333333,20,16
227,2755,24+ ft.,0.3582089552238806,24,24
228,2755,8-16 ft.,0.3148148148148148,17,8
229,2755,Less Than 8 ft.,0.48,24,0
230,2756,16-24 ft.,0.30434782608695654,7,16
231,2756,24+ ft.,0.225,9,24
232,2756,8-16 ft.,0.18181818181818182,2,8
233,2756,Less Than 8 ft.,0.5384615384615384,7,0
234,2760,16-24 ft.,0.3333333333333333,5,16
235,2760,24+ ft.,0.0,0,24
236,2760,8-16 ft.,0.5714285714285714,8,8
237,2760,Less Than 8 ft.,0.4090909090909091,9,0
238,2772,16-24 ft.,0.39285714285714285,11,16
239,2772,24+ ft.,0.35909090909090907,79,24
240,2772,8-16 ft.,0.2631578947368421,5,8
241,2772,Back Court Shot,0.0,0,50
242,2772,Less Than 8 ft.,0.48623853211009177,53,0
243,101106,16-24 ft.,0.3333333333333333,1,16
244,101106,8-16 ft.,0.23076923076923078,3,8
245,101106,Less Than 8 ft.,0.6666666666666666,80,0
246,101107,16-24 ft.,0.21428571428571427,6,16
247,101107,24+ ft.,0.4028776978417266,56,24
248,101107,8-16 ft.,0.5714285714285714,12,8
249,101107,Back Court Shot,0.0,0,50
250,101107,Less Than 8 ft.,0.44155844155844154,34,0
251,101108,16-24 ft.,0.4260869565217391,49,16
252,101108,24+ ft.,0.36036036036036034,40,24
253,101108,8-16 ft.,0.4636363636363636,51,8
254,101108,Less Than 8 ft.,0.5595238095238095,47,0
255,101109,16-24 ft.,0.375,21,16
256,101109,24+ ft.,0.3595505617977528,32,24
257,101109,8-16 ft.,0.4642857142857143,13,8
258,101109,Back Court Shot,0.0,0,50
259,101109,Less Than 8 ft.,0.5357142857142857,45,0
260,101111,16-24 ft.,0.42857142857142855,3,16
261,101111,24+ ft.,0.21686746987951808,18,24
262,101111,8-16 ft.,0.4,8,8
263,101111,Less Than 8 ft.,0.5740740740740741,31,0
264,101112,16-24 ft.,0.5384615384615384,7,16
265,101112,24+ ft.,0.4146341463414634,34,24
266,101112,8-16 ft.,0.3333333333333333,1,8
267,101112,Less Than 8 ft.,0.6875,11,0
268,101114,16-24 ft.,0.3793103448275862,22,16
269,101114,24+ ft.,0.34210526315789475,39,24
270,101114,8-16 ft.,0.5,24,8
271,101114,Less Than 8 ft.,0.5636363636363636,62,0
272,101123,16-24 ft.,0.3877551020408163,19,16
273,101123,24+ ft.,0.3357664233576642,46,24
274,101123,8-16 ft.,0.45454545454545453,20,8
275,101123,Less Than 8 ft.,0.5833333333333334,35,0
276,101127,16-24 ft.,0.4166666666666667,30,16
277,101127,24+ ft.,0.3125,20,24
278,101127,8-16 ft.,0.2894736842105263,11,8
279,101127,Less Than 8 ft.,0.46296296296296297,25,0
280,101133,16-24 ft.,0.25,4,16
281,101133,8-16 ft.,0.25,3,8
282,101133,Less Than 8 ft.,0.6642335766423357,91,0
283,101135,16-24 ft.,0.2727272727272727,3,16
284,101135,24+ ft.,0.0,0,24
285,101135,8-16 ft.,0.3076923076923077,4,8
286,101135,Less Than 8 ft.,0.49122807017543857,56,0
287,101138,16-24 ft.,0.3333333333333333,6,16
288,101138,8-16 ft.,0.4074074074074074,11,8
289,101138,Less Than 8 ft.,0.675,54,0
290,101139,16-24 ft.,0.375,12,16
291,101139,24+ ft.,0.33980582524271846,70,24
292,101139,8-16 ft.,0.3333333333333333,6,8
293,101139,Back Court Shot,0.0,0,50
294,101139,Less Than 8 ft.,0.49382716049382713,40,0
295,101141,16-24 ft.,0.375,18,16
296,101141,24+ ft.,0.3698630136986301,54,24
297,101141,8-16 ft.,0.5263157894736842,10,8
298,101141,Less Than 8 ft.,0.48854961832061067,64,0
299,101145,16-24 ft.,0.42276422764227645,52,16
300,101145,24+ ft.,0.2897196261682243,31,24
301,101145,8-16 ft.,0.5138888888888888,37,8
302,101145,Less Than 8 ft.,0.5771812080536913,86,0
303,101150,16-24 ft.,0.5,22,16
304,101150,24+ ft.,0.31756756756756754,47,24
305,101150,8-16 ft.,0.46,23,8
306,101150,Less Than 8 ft.,0.4725274725274725,43,0
307,101161,16-24 ft.,0.25,1,16
308,101161,24+ ft.,0.3,6,24
309,101161,8-16 ft.,0.6666666666666666,10,8
310,101161,Less Than 8 ft.,0.6428571428571429,90,0
311,101162,16-24 ft.,0.6,9,16
312,101162,8-16 ft.,0.39325842696629215,35,8
313,101162,Less Than 8 ft.,0.5592417061611374,118,0
314,101179,16-24 ft.,0.2222222222222222,2,16
315,101179,24+ ft.,0.3888888888888889,28,24
316,101179,8-16 ft.,0.3333333333333333,2,8
317,101179,Less Than 8 ft.,0.42857142857142855,9,0
318,101181,16-24 ft.,0.484375,31,16
319,101181,24+ ft.,0.4215686274509804,43,24
320,101181,8-16 ft.,0.5483870967741935,17,8
321,101181,Less Than 8 ft.,0.5925925925925926,16,0
322,200746,16-24 ft.,0.43356643356643354,62,16
323,200746,24+ ft.,0.0,0,24
324,200746,8-16 ft.,0.37735849056603776,40,8
325,200746,Less Than 8 ft.,0.6298342541436464,114,0
326,200751,16-24 ft.,0.35,14,16
327,200751,24+ ft.,0.2905982905982906,34,24
328,200751,8-16 ft.,0.4444444444444444,4,8
329,200751,Less Than 8 ft.,0.4393939393939394,29,0
330,200752,16-24 ft.,0.4603174603174603,29,16
331,200752,24+ ft.,0.3111111111111111,28,24
332,200752,8-16 ft.,0.5151515151515151,51,8
333,200752,Less Than 8 ft.,0.49246231155778897,98,0
334,200755,16-24 ft.,0.5,58,16
335,200755,24+ ft.,0.5194805194805194,80,24
336,200755,8-16 ft.,0.4666666666666667,7,8
337,200755,Less Than 8 ft.,0.4827586206896552,14,0
338,200757,16-24 ft.,0.5909090909090909,13,16
339,200757,24+ ft.,0.2631578947368421,15,24
340,200757,8-16 ft.,0.5,5,8
341,200757,Less Than 8 ft.,0.654320987654321,53,0
342,200765,16-24 ft.,0.325,26,16
343,200765,24+ ft.,0.3090909090909091,17,24
344,200765,8-16 ft.,0.2916666666666667,7,8
345,200765,Less Than 8 ft.,0.59375,95,0
346,200768,16-24 ft.,0.35,21,16
347,200768,24+ ft.,0.39148936170212767,92,24
348,200768,8-16 ft.,0.30612244897959184,15,8
349,200768,Back Court Shot,0.0,0,50
350,200768,Less Than 8 ft.,0.5357142857142857,90,0
351,200779,24+ ft.,0.0,0,24
352,200779,8-16 ft.,1.0,1,8
353,200782,16-24 ft.,0.23529411764705882,4,16
354,200782,24+ ft.,0.3563218390804598,31,24
355,200782,8-16 ft.,0.3333333333333333,3,8
356,200782,Less Than 8 ft.,0.5132743362831859,58,0
357,200794,16-24 ft.,0.38461538461538464,15,16
358,200794,24+ ft.,0.30927835051546393,30,24
359,200794,8-16 ft.,0.4588235294117647,39,8
360,200794,Less Than 8 ft.,0.5850622406639004,141,0
361,200811,16-24 ft.,0.0,0,16
362,200811,8-16 ft.,0.0,0,8
363,200811,Less Than 8 ft.,0.5454545454545454,12,0
364,200826,16-24 ft.,0.45,9,16
365,200826,24+ ft.,0.3076923076923077,28,24
366,200826,8-16 ft.,0.4594594594594595,17,8
367,200826,Less Than 8 ft.,0.4791666666666667,46,0
368,201142,16-24 ft.,0.45,36,16
369,201142,24+ ft.,0.3767123287671233,55,24
370,201142,8-16 ft.,0.47619047619047616,50,8
371,201142,Less Than 8 ft.,0.7217391304347827,83,0
372,201143,16-24 ft.,0.4732142857142857,53,16
373,201143,24+ ft.,0.3238095238095238,34,24
374,201143,8-16 ft.,0.3898305084745763,23,8
375,201143,Less Than 8 ft.,0.6413043478260869,118,0
376,201144,16-24 ft.,0.41025641025641024,32,16
377,201144,24+ ft.,0.36,45,24
378,201144,8-16 ft.,0.36363636363636365,28,8
379,201144,Less Than 8 ft.,0.4930555555555556,71,0
380,201145,16-24 ft.,0.3125,15,16
381,201145,24+ ft.,0.25316455696202533,20,24
382,201145,8-16 ft.,0.3898305084745763,23,8
383,201145,Back Court Shot,0.0,0,50
384,201145,Less Than 8 ft.,0.4887640449438202,87,0
385,201147,16-24 ft.,0.18181818181818182,2,16
386,201147,24+ ft.,0.2736842105263158,26,24
387,201147,8-16 ft.,0.2777777777777778,5,8
388,201147,Less Than 8 ft.,0.4742268041237113,46,0
389,201148,16-24 ft.,0.6666666666666666,2,16
390,201148,8-16 ft.,0.0,0,8
391,201148,Less Than 8 ft.,0.6923076923076923,9,0
392,201149,16-24 ft.,0.3333333333333333,1,16
393,201149,8-16 ft.,1.0,1,8
394,201149,Back Court Shot,0.0,0,50
395,201149,Less Than 8 ft.,0.4146341463414634,34,0
396,201150,16-24 ft.,0.3,3,16
397,201150,24+ ft.,0.24444444444444444,11,24
398,201150,8-16 ft.,0.35714285714285715,10,8
399,201150,Less Than 8 ft.,0.4166666666666667,25,0
400,201152,16-24 ft.,0.423728813559322,25,16
401,201152,24+ ft.,0.2857142857142857,4,24
402,201152,8-16 ft.,0.36538461538461536,19,8
403,201152,Back Court Shot,0.0,0,50
404,201152,Less Than 8 ft.,0.5747126436781609,150,0
405,201155,16-24 ft.,0.359375,23,16
406,201155,24+ ft.,0.2571428571428571,9,24
407,201155,8-16 ft.,0.40540540540540543,15,8
408,201155,Back Court Shot,0.0,0,50
409,201155,Less Than 8 ft.,0.5,37,0
410,201156,16-24 ft.,0.35135135135135137,13,16
411,201156,24+ ft.,0.3609022556390977,48,24
412,201156,8-16 ft.,0.48148148148148145,13,8
413,201156,Less Than 8 ft.,0.4,4,0
414,201158,16-24 ft.,0.4339622641509434,46,16
415,201158,24+ ft.,0.32,48,24
416,201158,8-16 ft.,0.3793103448275862,11,8
417,201158,Back Court Shot,0.0,0,50
418,201158,Less Than 8 ft.,0.5909090909090909,13,0
419,201160,16-24 ft.,0.5333333333333333,48,16
420,201160,24+ ft.,0.16666666666666666,1,24
421,201160,8-16 ft.,0.42857142857142855,9,8
422,201160,Less Than 8 ft.,0.5151515151515151,17,0
423,201162,16-24 ft.,0.4727272727272727,26,16
424,201162,24+ ft.,0.4842105263157895,46,24
425,201162,8-16 ft.,0.5384615384615384,7,8
426,201162,Less Than 8 ft.,0.56,14,0
427,201166,16-24 ft.,0.6,6,16
428,201166,24+ ft.,0.4230769230769231,22,24
429,201166,8-16 ft.,0.2857142857142857,4,8
430,201166,Less Than 8 ft.,0.4897959183673469,24,0
431,201167,16-24 ft.,0.45,36,16
432,201167,24+ ft.,0.39603960396039606,40,24
433,201167,8-16 ft.,0.5340909090909091,47,8
434,201167,Less Than 8 ft.,0.5047619047619047,53,0
435,201168,16-24 ft.,0.25,1,16
436,201168,8-16 ft.,0.0,0,8
437,201168,Back Court Shot,0.0,0,50
438,201168,Less Than 8 ft.,0.5321100917431193,58,0
439,201171,16-24 ft.,0.5882352941176471,10,16
440,201171,8-16 ft.,0.5,2,8
441,201171,Less Than 8 ft.,0.65,13,0
442,201177,16-24 ft.,0.6666666666666666,4,16
443,201177,24+ ft.,0.06666666666666667,1,24
444,201177,8-16 ft.,0.0,0,8
445,201177,Less Than 8 ft.,0.47368421052631576,9,0
446,201188,16-24 ft.,0.4666666666666667,63,16
447,201188,24+ ft.,1.0,2,24
448,201188,8-16 ft.,0.40476190476190477,68,8
449,201188,Less Than 8 ft.,0.48677248677248675,92,0
450,201196,16-24 ft.,0.6153846153846154,8,16
451,201196,24+ ft.,0.3404255319148936,16,24
452,201196,8-16 ft.,0.36666666666666664,11,8
453,201196,Less Than 8 ft.,0.556390977443609,74,0
454,201202,Less Than 8 ft.,0.4,2,0
455,201228,16-24 ft.,0.2,1,16
456,201228,24+ ft.,0.3333333333333333,2,24
457,201228,8-16 ft.,0.3333333333333333,1,8
458,201228,Less Than 8 ft.,0.42857142857142855,3,0
459,201229,16-24 ft.,0.4,4,16
460,201229,24+ ft.,0.362962962962963,49,24
461,201229,8-16 ft.,0.375,3,8
462,201229,Less Than 8 ft.,0.42857142857142855,6,0
463,201564,16-24 ft.,0.575,23,16
464,201564,24+ ft.,0.3253012048192771,27,24
465,201564,8-16 ft.,0.39285714285714285,11,8
466,201564,Back Court Shot,0.0,0,50
467,201564,Less Than 8 ft.,0.3469387755102041,17,0
468,201565,16-24 ft.,0.31746031746031744,20,16
469,201565,24+ ft.,0.31666666666666665,19,24
470,201565,8-16 ft.,0.47692307692307695,31,8
471,201565,Back Court Shot,0.0,0,50
472,201565,Less Than 8 ft.,0.44025157232704404,70,0
473,201566,16-24 ft.,0.38461538461538464,25,16
474,201566,24+ ft.,0.2900763358778626,38,24
475,201566,8-16 ft.,0.4444444444444444,48,8
476,201566,Less Than 8 ft.,0.5517241379310345,144,0
477,201567,16-24 ft.,0.37209302325581395,16,16
478,201567,24+ ft.,0.3473684210526316,66,24
479,201567,8-16 ft.,0.3333333333333333,19,8
480,201567,Less Than 8 ft.,0.5121951219512195,84,0
481,201568,16-24 ft.,0.34328358208955223,23,16
482,201568,24+ ft.,0.3488372093023256,45,24
483,201568,8-16 ft.,0.17391304347826086,4,8
484,201568,Back Court Shot,0.0,0,50
485,201568,Less Than 8 ft.,0.5118110236220472,65,0
486,201569,16-24 ft.,0.37735849056603776,20,16
487,201569,24+ ft.,0.3876651982378855,88,24
488,201569,8-16 ft.,0.4444444444444444,12,8
489,201569,Less Than 8 ft.,0.48739495798319327,58,0
490,201571,16-24 ft.,0.36363636363636365,4,16
491,201571,24+ ft.,0.4166666666666667,15,24
492,201571,8-16 ft.,0.0,0,8
493,201571,Back Court Shot,0.0,0,50
494,201571,Less Than 8 ft.,0.3157894736842105,6,0
